Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
leaf,LEAF3D,Ethernet11,network_port,IDF3 Standard Port,,True
leaf,LEAF3D,Ethernet12,network_port,IDF3 Standard Port,,True
leaf,LEAF3D,Ethernet13,network_port,IDF3 Standard Port,,True
leaf,LEAF3D,Ethernet14,network_port,IDF3 Standard Port,,True
leaf,LEAF3D,Ethernet15,network_port,IDF3 Standard Port,,True
leaf,LEAF3D,Ethernet16,network_port,IDF3 Standard Port,,True
leaf,LEAF3D,Ethernet17,network_port,IDF3 Standard Port,,True
leaf,LEAF3D,Ethernet18,network_port,IDF3 Standard Port,,True
leaf,LEAF3D,Ethernet19,network_port,IDF3 Standard Port,,True
leaf,LEAF3D,Ethernet20,network_port,IDF3 Standard Port,,True
leaf,LEAF3D,Ethernet21,network_port,IDF3 Standard Port,,True
leaf,LEAF3D,Ethernet22,network_port,IDF3 Standard Port,,True
leaf,LEAF3E,Ethernet1,leaf,LEAF3A,Ethernet5,True
leaf,LEAF3E,Ethernet2,leaf,LEAF3B,Ethernet5,True
leaf,LEAF3E,Ethernet6,network_port,IDF3 Standard Port,,True
leaf,LEAF3E,Ethernet7,network_port,IDF3 Standard Port,,True
leaf,LEAF3E,Ethernet8,network_port,IDF3 Standard Port,,True
leaf,LEAF3E,Ethernet9,network_port,IDF3 Standard Port,,True
leaf,LEAF3E,Ethernet10,network_port,IDF3 Standard Port,,True
leaf,LEAF3E,Ethernet11,network_port,IDF3 Standard Port,,True
leaf,LEAF3E,Ethernet12,network_port,IDF3 Standard Port,,True
leaf,LEAF3E,Ethernet13,network_port,IDF3 Standard Port,,True
leaf,LEAF3E,Ethernet14,network_port,IDF3 Standard Port,,True
leaf,LEAF3E,Ethernet15,network_port,IDF3 Standard Port,,True
leaf,LEAF3E,Ethernet16,network_port,IDF3 Standard Port,,True
leaf,LEAF3E,Ethernet17,network_port,IDF3 Standard Port,,True
leaf,LEAF3E,Ethernet18,network_port,IDF3 Standard Port,,True
leaf,LEAF3E,Ethernet19,network_port,IDF3 Standard Port,,True
leaf,LEAF3E,Ethernet20,network_port,IDF3 Standard Port,,True
leaf,LEAF3E,Ethernet21,network_port,IDF3 Standard Port,,True
leaf,LEAF3E,Ethernet22,network_port,IDF3 Standard Port,,True
l3spine,SPINE1,Ethernet1,leaf,LEAF1A,Ethernet1,True
l3spine,SPINE1,Ethernet2,leaf,LEAF2A,Ethernet1,True
l3spine,SPINE1,Ethernet3,leaf,LEAF3A,Ethernet1,True
l3spine,SPINE1,Ethernet4,leaf,LEAF3B,Ethernet1,True
l3spine,SPINE1,Ethernet5,other,WAN,Ethernet1,True
l3spine,SPINE1,Ethernet23,mlag_peer,SPINE2,Ethernet23,True
l3spine,SPINE1,Ethernet24,mlag_peer,SPINE2,Ethernet24,True
l3spine,SPINE2,Ethernet1,leaf,LEAF1B,Ethernet1,True
l3spine,SPINE2,Ethernet2,leaf,LEAF2A,Ethernet2,True
l3spine,SPINE2,Ethernet3,leaf,LEAF3A,Ethernet2,True
l3spine,SPINE2,Ethernet4,leaf,LEAF3B,Ethernet2,True
l3spine,SPINE2,Ethernet5,other,WAN,Ethernet2,True
l3spine,SPINE2,Ethernet23,mlag_peer,SPINE1,Ethernet23,True
l3spine,SPINE2,Ethernet24,mlag_peer,SPINE1,Ethernet24,True
